0,CombatZoneResize,239,226,404,391,TLResume,,
0,music,mus_ink,,,,,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0.2,BoneVRepeat,128,226,115,0,180,8,120
0,BoneVRepeat,117,226,115,0,180,8,120
0,BoneVRepeat,106,226,115,0,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,117,366,20,0,180,8,120
0,BoneVRepeat,106,366,20,0,180,8,120
0,BoneVRepeat,503,226,115,2,180,8,120
0,BoneVRepeat,514,226,115,2,180,8,120
0,BoneVRepeat,525,226,115,2,180,8,120
0,BoneVRepeat,503,366,20,2,180,8,120
0,BoneVRepeat,514,366,20,2,180,8,120
0,BoneVRepeat,525,366,20,2,180,8,120
6.4,EndAttack,,,,,,,
